波形数据,心率
2207,104.167
2397,104.167
2654,104.167
2730,104.167
2735,104.167
2738,104.167
2742,94.4882
2735,94.4882
2740,94.4882
2745,94.4882
2739,94.4882
2739,94.4882
2735,94.4882
2740,94.4882
2745,94.4882
2735,94.4882
2139,94.4882
1147,94.4882
449,94.4882
106,94.4882
111,94.4882
239,94.4882
430,94.4882
739,94.4882
1181,94.4882
1580,94.4882
2063,94.4882
2350,94.4882
2531,94.4882
2678,94.4882
2739,94.4882
2734,100.334
2715,100.334
2739,100.334
2739,100.334
2738,100.334
2730,100.334
2738,100.334
2715,100.334
2693,100.334
2715,100.334
2678,100.334
2738,100.334
2736,100.334
2737,100.334
2706,100.334
2739,100.334
2745,100.334
2473,100.334
1448,100.334
585,100.334
104,100.334
63,100.334
160,100.334
380,100.334
714,100.334
1154,100.334
1728,100.334
2329,100.334
2744,100.334
2740,100.334
2735,100.334
2739,100.334
2738,100.334
2747,99.7921
2742,99.7921
2743,99.7921
2742,99.7921
2718,99.7921
2738,99.7921
2739,99.7921
2743,99.7921
2738,99.7921
2742,99.7921
2734,99.7921
2730,99.7921
2747,99.7921
2744,99.7921
2745,99.7921
2692,99.7921
2720,99.7921
2721,99.7921
2742,99.7921
2708,99.7921
2031,99.7921
795,99.7921
31,99.7921
26,99.7921
23,99.7921
18,99.7921
99,99.7921
361,99.7921
772,99.7921
1286,99.7921
1804,99.7921
2203,99.7921
2416,99.7921
2510,99.7921
2552,99.7921
2689,99.7921
2670,99.7921
2735,99.7921
2741,99.7921
2740,93.9555
2714,93.9555
2734,93.9555
2742,93.9555
2740,93.9555
2738,93.9555
2738,93.9555
2732,93.9555
2739,93.9555
2747,93.9555
2735,93.9555
2735,93.9555
2740,93.9555
2739,93.9555
2738,93.9555
2735,93.9555
1934,93.9555
718,93.9555
26,93.9555
23,93.9555
42,93.9555
748,93.9555
1093,93.9555
1497,93.9555
2011,93.9555
2475,93.9555
2740,93.9555
2744,93.9555
2738,93.9555
2740,94.5378
2744,94.5378
2692,94.5378
2734,94.5378
2745,94.5378
2715,94.5378
2714,94.5378
2680,94.5378
2734,94.5378
2739,94.5378
2738,94.5378
2738,94.5378
2710,94.5378
2744,94.5378
2738,94.5378
2740,94.5378
2738,94.5378
2736,94.5378
2742,94.5378
1801,94.5378
522,94.5378
26,94.5378
25,94.5378
37,94.5378
109,94.5378
343,94.5378
931,94.5378
1608,94.5378
2288,94.5378
2718,94.5378
2739,94.5378
2753,94.5378
2691,94.4669
2624,94.4669
2614,94.4669
2688,94.4669
2735,94.4669
2745,94.4669
2738,94.4669
2735,94.4669
2739,94.4669
2738,94.4669
2739,94.4669
2747,94.4669
2739,94.4669
2742,94.4669
2715,94.4669
2742,94.4669
2730,94.4669
2738,94.4669
2506,94.4669
1026,94.4669
30,94.4669
27,94.4669
24,94.4669
31,94.4669
24,94.4669
27,94.4669
254,94.4669
719,94.4669
1250,94.4669
1710,94.4669
2087,94.4669
2153,94.4669
2050,94.4669
1984,94.4669
2051,94.4669
2318,94.4669
2712,94.4669
2739,94.4669
2736,94.4669
2738,94.4669
2742,91.8133
2742,91.8133
2738,91.8133
2736,91.8133
2670,91.8133
2740,91.8133
2719,91.8133
2742,91.8133
2741,91.8133
2745,91.8133
2522,91.8133
1298,91.8133
28,91.8133
25,91.8133
22,91.8133
18,91.8133
19,91.8133
29,91.8133
18,91.8133
278,91.8133
1165,91.8133
1596,91.8133
1946,91.8133
2007,91.8133
1942,91.8133
2034,91.8133
2175,91.8133
2424,91.8133
2738,91.8133
2738,91.8133
2735,91.8133
2735,91.8133
2742,92.2131
2742,92.2131
2739,92.2131
2699,92.2131
2738,92.2131
2749,92.2131
2696,92.2131
2734,92.2131
2736,92.2131
2739,92.2131
2738,92.2131
2474,92.2131
1074,92.2131
26,92.2131
24,92.2131
22,92.2131
22,92.2131
20,92.2131
18,92.2131
26,92.2131
525,92.2131
1083,92.2131
1603,92.2131
1921,92.2131
2034,92.2131
2016,92.2131
2019,92.2131
2248,92.2131
2505,92.2131
2696,92.2131
2739,92.2131
2678,92.2131
2747,92.2131
2738,91.9681
2738,91.9681
2735,91.9681
2743,91.9681
2747,91.9681
2734,91.9681
2736,91.9681
2740,91.9681
2744,91.9681
2717,91.9681
2752,91.9681
2102,91.9681
682,91.9681
22,91.9681
23,91.9681
23,91.9681
23,91.9681
18,91.9681
146,91.9681
704,91.9681
1384,91.9681
2066,91.9681
2498,91.9681
2616,91.9681
2522,91.9681
2396,91.9681
2378,91.9681
2582,91.9681
2702,91.9681
2739,91.9681
2743,91.9681
2719,91.9681
2738,92.1402
2740,92.1402
2679,92.1402
2738,92.1402
2739,92.1402
2738,92.1402
2734,92.1402
2742,92.1402
2747,92.1402
2738,92.1402
2010,92.1402
474,92.1402
24,92.1402
28,92.1402
23,92.1402
20,92.1402
21,92.1402
207,92.1402
694,92.1402
1438,92.1402
2115,92.1402
2506,92.1402
2704,92.1402
2322,92.1402
2202,92.1402
2259,92.1402
2520,93.6646
2720,93.6646
2735,93.6646
2734,93.6646
2744,93.6646
2738,93.6646
2738,93.6646
2738,93.6646
2735,93.6646
2738,93.6646
2680,93.6646
2735,93.6646
2739,93.6646
2740,93.6646
2646,93.6646
1419,93.6646
26,93.6646
19,93.6646
20,93.6646
30,93.6646
23,93.6646
19,93.6646
18,93.6646
130,93.6646
627,93.6646
1182,93.6646
1624,93.6646
1840,93.6646
1867,93.6646
1836,93.6646
1886,93.6646
2186,93.6646
2531,93.6646
2739,93.6646
2741,93.6646
2732,93.6646
2739,93.6646
2742,93.7275
2738,93.7275
2738,93.7275
2739,93.7275
2738,93.7275
2740,93.7275
2742,93.7275
2747,93.7275
2740,93.7275
2742,93.7275
2741,93.7275
1419,93.7275
37,93.7275
26,93.7275
24,93.7275
24,93.7275
25,93.7275
29,93.7275
22,93.7275
225,93.7275
642,93.7275
1178,93.7275
1595,93.7275
1797,93.7275
1818,93.7275
1792,93.7275
1862,93.7275
2074,93.7275
2458,93.7275
2737,93.7275
2738,93.7275
2739,93.7275
2739,93.562
2738,93.562
2747,93.562
2747,93.562
2738,93.562
2734,93.562
2675,93.562
2740,93.562
2738,93.562
2738,93.562
2676,93.562
2730,93.562
2744,93.562
2152,93.562
480,93.562
24,93.562
24,93.562
23,93.562
23,93.562
22,93.562
22,93.562
87,93.562
562,93.562
1130,93.562
1621,93.562
1894,93.562
1988,93.562
2015,93.562
2148,93.562
2387,93.562
2738,93.562
2739,93.562
2738,93.562
2706,93.332
2740,93.332
2744,93.332
2698,93.332
2678,93.332
2742,93.332
2744,93.332
2738,93.332
2740,93.332
2673,93.332
2747,93.332
2739,93.332
2675,93.332
2724,93.332
1507,93.332
35,93.332
32,93.332
29,93.332
22,93.332
24,93.332
31,93.332
566,93.332
1251,93.332
1920,93.332
2460,93.332
2604,93.332
2490,93.332
2303,93.332
2193,93.332
2244,94.1176
2498,94.1176
2735,94.1176
2735,94.1176
2723,94.1176
2740,94.1176
2739,94.1176
2724,94.1176
2741,94.1176
2715,94.1176
2743,94.1176
2738,94.1176
2738,94.1176
2738,94.1176
2742,94.1176
2744,94.1176
2750,94.1176
2590,94.1176
1322,94.1176
26,94.1176
23,94.1176
18,94.1176
19,94.1176
31,94.1176
16,94.1176
37,94.1176
391,94.1176
991,94.1176
1550,94.1176
2035,94.1176
2203,94.1176
2146,94.1176
2056,94.1176
2071,94.1176
2294,94.1176
2663,94.1176
2749,93.7845
2720,93.7845
2735,93.7845
2738,93.7845
2740,93.7845
2740,93.7845
